Date,Time,ID,type,order_taken,sniffing,rotation,scatter-hoard,leaf,eaten,N_congeners_around,temperature,humidity (percent),Comments
24/04,,Boxer,control,7,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,8,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,9,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,10,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,11,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,12,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,13,0,0,0,0,1,4,30,47,
24/04,,Boxer,control,14,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,15,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,16,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,17,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,18,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,19,0,0,0,0,1,3,30,47,
24/04,,Boxer,control,20,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,21,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,22,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,23,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,24,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,25,0,0,0,0,1,2,30,47,
24/04,,Boxer,control,26,0,0,1,0,0,2,30,47,
24/04,,Boxer,control,27,0,1,1,0,0,2,30,47,
24/04,,Boxer,control,28,0,0,1,0,0,2,30,47,
24/04,,Bianca,control,1,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,2,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,3,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,4,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,5,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,6,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,7,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,8,0,1,0,0,1,4,30,47,
24/04,,Bianca,control,9,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,10,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,11,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,12,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,13,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,14,0,1,1,0,0,4,30,47,
24/04,,Bianca,control,15,0,1,0,0,1,4,30,47,
24/04,,Bianca,control,16,0,0,0,0,1,4,30,47,
24/04,,Bianca,control,17,0,1,1,0,0,4,30,47,
28/04,,Nemo,control,1,0,0,0,0,1,6,,,
28/04,,Nemo,control,2,0,0,0,0,1,6,,,
28/04,,Nemo,control,3,0,0,0,0,1,6,,,
28/04,,Nemo,control,4,0,0,0,0,1,6,,,
28/04,,Nemo,control,5,0,0,0,0,1,6,,,
28/04,,Nemo,control,6,0,0,0,0,1,6,,,
28/04,,Nemo,control,7,0,0,0,0,1,6,,,
28/04,,Nemo,control,8,0,0,0,0,1,6,,,
28/04,,Nemo,control,9,0,0,0,0,1,6,,,
28/04,,Nemo,control,10,0,1,1,1,0,6,,,
28/04,,Nemo,control,11,0,1,1,0,0,6,,,
28/04,,Nemo,control,12,0,1,1,0,0,6,,,
28/04,,Nemo,control,13,0,1,1,1,0,6,,,
28/04,,Nemo,control,14,0,1,1,1,0,6,,,
28/04,,Nemo,control,15,0,1,1,1,0,6,,,
28/04,,Nemo,control,16,0,1,1,1,0,6,,,
28/04,,Nemo,control,17,0,1,1,1,0,6,,,
28/04,,Nemo,control,18,0,1,0,0,1,6,,,
28/04,,Nemo,control,19,0,1,1,1,0,6,,,
28/04,,Nemo,control,20,0,1,0,0,1,6,,,
28/04,,Nemo,control,21,0,1,0,0,1,6,,,
28/04,,Nemo,control,22,0,0,1,0,0,6,,,
28/04,,Nemo,control,23,0,0,1,0,0,6,,,
28/04,,Minus,control,1,0,0,0,0,1,6,,,
28/04,,Minus,control,2,0,0,0,0,1,6,,,
28/04,,Minus,control,3,0,0,0,0,1,6,,,
28/04,,Minus,control,4,0,0,0,0,1,6,,,
28/04,,Minus,control,5,0,0,0,0,1,6,,,
28/04,,Minus,control,6,0,0,0,0,1,6,,,
28/04,,Minus,control,7,0,1,0,0,1,6,,,
28/04,,Minus,control,8,0,1,1,0,0,6,,,
28/04,,Minus,control,9,0,1,1,0,0,6,,,
28/04,,Minus,control,10,0,1,1,0,0,6,,,
28/04,,Minus,control,11,0,1,0,0,1,6,,,
28/04,,Minus,control,12,0,1,1,1,0,6,,,
28/04,,Minus,control,13,0,1,1,1,0,6,,,
28/04,,Minus,control,14,0,1,1,1,0,6,,,
28/04,,Minus,control,15,0,1,1,1,0,6,,,
28/04,,Minus,control,16,0,0,1,1,0,6,,,
28/04,,Minus,control,17,0,0,1,0,0,6,,,
28/04,,White line,control,1,0,0,0,0,1,5,,,
28/04,,White line,control,2,0,0,0,0,1,5,,,
28/04,,White line,control,3,0,0,0,0,1,5,,,
28/04,,White line,control,4,0,0,0,0,1,5,,,
28/04,,White line,control,5,0,0,0,0,1,5,,,
28/04,,White line,control,6,0,0,0,0,1,5,,,
28/04,,White line,control,7,0,0,0,0,1,5,,,
28/04,,White line,control,8,0,1,0,0,1,5,,,
28/04,,White line,control,9,0,0,0,0,1,5,,,
28/04,,White line,control,10,0,1,0,0,1,5,,,
28/04,,White line,control,11,0,0,0,0,1,5,,,
28/04,,White line,control,12,0,1,0,0,1,5,,,
28/04,,White line,control,13,0,1,0,0,1,5,,,
28/04,,White line,control,14,0,0,0,0,1,5,,,
28/04,,White line,control,15,0,0,1,0,0,5,,,
28/04,,White line,control,16,0,1,0,0,1,5,,,
28/04,,Bald,control,1,0,0,0,0,1,5,,,
28/04,,Bald,control,2,0,0,0,0,1,5,,,
28/04,,Bald,control,3,0,0,0,0,1,5,,,
28/04,,Bald,control,4,0,0,0,0,1,5,,,
28/04,,Bald,control,5,0,0,0,0,1,5,,,
28/04,,Bald,control,6,0,0,0,0,1,5,,,
28/04,,Bald,control,7,0,0,0,0,1,5,,,
28/04,,Bald,control,8,0,0,0,0,1,5,,,
28/04,,Bald,control,9,0,0,,,,5,,,
28/04,,Bald,control,10,0,0,0,0,1,5,,,
28/04,,Bald,control,11,0,0,0,0,1,5,,,
28/04,,Bald,control,12,0,0,0,0,1,5,,,
28/04,,Bald,control,13,0,0,0,0,1,5,,,
28/04,,Bald,control,14,0,0,1,,0,5,,,
28/04,,Bald,control,15,0,0,1,,0,5,,,
28/04,,Bald,control,16,0,0,1,,0,5,,,
28/04,,Bald,control,17,0,0,1,,0,5,,,
28/04,,Bald,control,18,0,0,1,,0,5,,,
28/04,,Bald,control,19,0,0,1,,0,5,,,
28/04,,Bald,control,20,0,0,1,,0,5,,,
28/04,,Bald,control,21,0,0,1,,0,5,,,
28/04,,Bald,control,22,0,0,1,1,0,5,,,2 leaves
28/04,,Bald,control,23,0,0,1,,0,5,,,
28/04,,Bald,control,24,0,0,1,,0,5,,,
28/04,,Bald,control,25,0,0,1,,0,5,,,
28/04,,Grower,control,1,0,0,0,0,1,5,,,
28/04,,Grower,control,2,0,1,0,0,1,5,,,
28/04,,Grower,control,3,0,1,0,0,1,5,,,
28/04,,Grower,control,4,0,0,0,0,1,5,,,
28/04,,Grower,control,5,0,0,1,0,0,5,,,
28/04,,Grower,control,6,1,1,1,0,0,5,,,
28/04,,Grower,control,7,1,1,1,0,0,5,,,
28/04,,Grower,control,8,0,0,0,0,1,5,,,
28/04,,Grower,control,9,0,1,1,0,0,5,,,
28/04,,Punk,control,1,0,0,0,0,1,5,,,
28/04,,Punk,control,2,0,0,0,0,1,5,,,
28/04,,Punk,control,3,0,0,0,0,1,5,,,
28/04,,Punk,control,4,0,0,0,0,1,5,,,
28/04,,Punk,control,5,0,0,0,0,1,5,,,
28/04,,Punk,control,6,0,0,1,0,0,5,,,
28/04,,Punk,control,7,0,1,1,0,0,5,,,
28/04,,Punk,control,8,0,0,1,0,0,5,,,
29/04,,Georgio,control,1,0,0,0,0,1,5,,,
29/04,,Georgio,control,2,0,0,0,0,1,5,,,
29/04,,Georgio,control,3,0,0,0,0,1,5,,,
29/04,,Georgio,control,4,0,0,0,0,1,5,,,
29/04,,Georgio,control,5,0,0,0,0,1,5,,,
29/04,,Georgio,control,6,0,0,0,0,1,5,,,
29/04,,Georgio,control,7,0,0,0,0,1,5,,,
29/04,,Georgio,control,8,0,1,1,NA,0,5,,,
29/04,,Georgio,control,9,1,0,1,NA,0,5,,,
29/04,,Georgio,control,10,1,0,0,NA,1,5,,,
29/04,,Georgio,control,11,0,1,1,NA,0,5,,,
29/04,,Georgio,control,12,0,0,0,NA,1,5,,,
29/04,,Georgio,control,13,1,0,1,NA,0,5,,,
29/04,,Georgio,control,14,0,1,1,NA,0,5,,,
29/04,,Georgio,control,15,0,0,1,NA,0,5,,,
29/04,,Georgio,control,16,0,0,1,NA,0,5,,,
29/04,,Georgio,control,17,0,1,1,NA,0,5,,,
29/04,,Georgio,control,18,0,0,1,NA,0,5,,,
29/04,,Georgio,control,19,0,1,1,NA,0,5,,,
29/04,,Georgio,control,20,0,1,1,NA,0,5,,,
29/04,,Georgio,control,21,0,1,1,NA,0,5,,,
29/04,,Georgio,control,22,0,0,1,NA,0,5,,,
29/04,,Georgio,control,23,0,0,1,NA,0,5,,,
29/04,,Georgio,control,24,0,0,0,NA,1,5,,,
29/04,,Georgio,control,25,0,1,1,NA,0,5,,,
04/05,,Scar,control,1,NA,0,0,NA,1,3,,,
04/05,,Scar,control,2,NA,0,0,NA,1,3,,,
04/05,,Scar,control,3,NA,0,0,NA,1,3,,,
04/05,,Scar,control,4,NA,0,0,NA,1,3,,,
04/05,,Scar,control,5,NA,0,0,NA,1,3,,,
04/05,,Scar,control,6,NA,0,1,NA,0,3,,,
04/05,,Scar,control,7,NA,0,1,NA,0,3,,,
04/05,,Scar,control,8,NA,0,1,NA,0,3,,,
04/05,,Scar,control,9,NA,1,1,NA,0,3,,,
04/05,,Reappears,control,1,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,2,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,3,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,4,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,5,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,6,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,7,NA,0,0,NA,1,3,,,
04/05,,Reappears,control,8,NA,0,1,NA,0,3,,,
04/05,,Reappears,control,9,NA,0,1,NA,0,3,,,
04/05,,Reappears,control,10,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,1,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,2,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,3,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,4,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,5,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,6,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,7,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,8,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,9,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,10,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,11,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,12,NA,1,1,NA,0,3,2 bites before SH,,
04/05,,Young shoulder,control,13,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,14,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,15,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,16,NA,1,1,NA,0,3,3 bites before SH,,
04/05,,Young shoulder,control,17,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,18,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,19,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,20,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,21,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,22,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,23,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,24,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,25,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,26,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,27,NA,1,1,NA,0,3,2 bites before SH,,
04/05,,Young shoulder,control,28,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,29,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,30,NA,1,1,NA,0,3,1 bites before SH,,
04/05,,Young shoulder,control,31,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,32,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,33,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,34,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,35,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,36,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,37,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,38,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,39,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,40,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,41,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,42,NA,0,0,NA,1,3,,,
04/05,,Young shoulder,control,43,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,44,NA,1,1,NA,0,3,1 bites before SH,,
04/05,,Young shoulder,control,45,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,46,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,47,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,48,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,49,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,50,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,51,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,52,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,53,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,54,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,55,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,56,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,57,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,58,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,59,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,60,NA,1,1,NA,0,3,,,
04/05,,Young shoulder,control,61,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,62,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,63,NA,0,1,NA,0,3,1 bites before SH,,
04/05,,Young shoulder,control,64,NA,0,1,NA,0,3,,,
04/05,,Young shoulder,control,65,NA,0,1,NA,0,3,,,
04/05,,Other,control,1,NA,0,0,NA,1,3,,,
04/05,,Other,control,2,NA,0,0,NA,1,3,,,
04/05,,Other,control,3,NA,0,0,NA,1,3,,,
04/05,,Other,control,4,NA,0,0,NA,1,3,,,
04/05,,Other,control,5,NA,0,0,NA,1,3,,,
04/05,,Other,control,6,NA,0,0,NA,1,3,,,
04/05,,Other,control,7,NA,0,0,NA,1,3,,,
04/05,,Other,control,8,NA,0,0,NA,1,3,,,
04/05,,Other,control,9,NA,0,1,0,0,3,,,
04/05,,Other,control,10,NA,0,1,1,0,3,,,
04/05,,Other,control,11,NA,0,1,0,0,3,,,
04/05,,Other,control,12,NA,1,1,0,0,3,,,
04/05,,Other,control,13,NA,0,1,1,0,3,,,
04/05,,Other,control,14,NA,0,1,0,0,3,,,
04/05,,Other,control,15,NA,0,1,0,0,3,,,
04/05,,Other,control,16,NA,0,1,0,0,3,,,
04/05,,Other,control,17,NA,1,1,0,0,3,,,
04/05,,Other,control,18,NA,0,1,0,0,3,,,
04/05,,Other,control,19,NA,0,1,0,0,3,,,
04/05,,Other,control,20,NA,0,1,0,0,3,,,
04/05,,Other,control,21,NA,1,1,0,0,3,,,
04/05,,Other,control,22,NA,0,1,0,0,3,,,
04/05,,Other,control,23,NA,0,1,0,0,3,,,
04/05,,Other,control,24,NA,0,1,0,0,3,,,
04/05,,Other,control,25,NA,0,1,0,0,3,,,
04/05,,Other,control,26,NA,0,1,0,0,3,,,
04/05,,Other,control,27,NA,1,1,0,0,3,,,
04/05,,Other,control,28,NA,1,1,2,0,3,,,
04/05,,Other,control,29,NA,0,1,0,0,3,,,
04/05,,Other,control,30,NA,1,1,0,0,3,,,
04/05,,Other,control,31,NA,1,1,0,0,3,,,
04/05,,Other,control,32,NA,1,1,0,0,3,,,
04/05,,Other,control,33,NA,1,1,0,0,3,,,
04/05,,Other,control,34,NA,0,1,0,0,3,,,
04/05,,Other,control,35,NA,1,1,0,0,3,,,
04/05,,Other,control,36,NA,0,1,0,0,3,,,
04/05,,Other,control,37,NA,0,1,0,0,3,,,
04/05,,Other,control,38,NA,0,1,0,0,3,,,
04/05,,Other,control,39,NA,0,1,0,0,3,,,
04/05,,Other,control,40,NA,0,1,0,0,3,,,
04/05,,Other,control,41,NA,0,1,0,0,3,,,
04/05,,Other,control,42,NA,0,1,0,0,3,,,
04/05,,Other,control,43,NA,1,1,0,0,3,,,
04/05,,Other,control,44,NA,0,1,0,0,3,,,
04/05,,Other,control,45,NA,1,1,0,0,3,,,
04/05,,Other,control,46,NA,1,1,0,0,3,1 bites before SH,,
04/05,,Other,control,47,NA,1,1,0,0,3,,,
04/05,,Other,control,48,NA,0,1,0,0,3,,,
04/05,,Other,control,49,NA,1,1,0,0,3,,,
04/05,,Other,control,50,NA,1,1,0,0,3,,,
04/05,,Other,control,51,NA,0,1,0,0,3,,,
04/05,,Other,control,52,NA,0,1,0,0,3,,,
04/05,,Other,control,53,NA,0,1,0,0,3,,,
04/05,,Other,control,54,NA,0,1,0,0,3,,,
04/05,,Other,control,55,NA,0,1,0,0,3,,,
04/05,,Other,control,56,NA,0,1,0,0,3,,,
04/05,,Other,control,57,NA,0,1,0,0,3,,,
